City,lat,lon
Abilene-Sweetwater TX,32.44645,-99.7475905
Ain,46.06551335,5.28478031423462
Aisne,49.45328545,3.60689900359406
Albany GA,40.0555158,-82.8457691
Albany-Schenectady-Troy NY,42.7373,-73.724799
Albuquerque-Santa Fe NM,35.0841034,-106.6509851
Alexandria LA,45.8846686,-95.377883
Allier,46.36746405,3.16388284831195
Alpena MI,45.0176181,-83.6670019
Alpes-Maritimes,43.9210587,7.1790785
Alpes-de-Haute-Provence,44.1640832,6.18785153860908
Amarillo TX,35.2072185,-101.8338246
Anchorage AK,61.2163129,-149.8948523
Ardeche,44.815194,4.3986524702344
Ardennes,49.69801175,4.67160051824518
Ariege,42.9455368,1.40655441560655
Atlanta GA,33.7490987,-84.3901849
Aube,48.3201921,4.19053966150475
Aude,43.0542733,2.51247145749955
Augusta GA,33.4709714,-81.9748429
Austin TX,30.2711286,-97.7436995
Aveyron,44.31585745,2.50656973024198
Bakersfield CA,35.3738712,-119.0194639
Baltimore MD,39.2908816,-76.610759
Bangor ME,29.0659229,-110.97133
Bas-Rhin,48.5991783,7.53381862433265
Baton Rouge LA,30.4459596,-91.18738
Beaumont-Port Arthur TX,29.901651,-93.974199
Bend OR,44.0581728,-121.3153096
"Billings, MT",45.7874957,-108.49607
Biloxi-Gulfport MS,30.40711375,-89.0714330210317
Binghamton NY,42.096968,-75.914341
Birmingham AL,33.570499,-86.765783
Bluefield-Beckley-Oak Hill WV,37.2698395,-81.2223195
Boise ID,43.6166163,-116.200886
Boston MA-Manchester NH,42.273947,-71.076741
Bouches-du-Rhone,43.54242045,5.03433373718415
Bowling Green KY,36.9903199,-86.4436018
Buffalo NY,42.8867166,-78.8783922
Butte-Bozeman MT,46.0131505,-112.5365089
Calvados,49.09076485,-0.24139505722798
Cantal,37.4964194,-1.473459
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,41.9758872,-91.6704053
Champaign & Springfield-Decatur IL,40.1126168,-88.2517482
Charente,45.6667902,0.0973050440984852
Charente-Maritime,45.73022675,-0.721287587256379
Charleston SC,32.7876012,-79.9402728
Charleston-Huntington WV,38.4143034,-82.4183165
Charlotte NC,35.2270869,-80.8431268
Charlottesville VA,38.029306,-78.4766781
Chattanooga TN,35.0457219,-85.3094883
Cher,47.0248824,2.57533336066557
Cheyenne WY-Scottsbluff NE,33.134957,-96.836443
Chicago IL,41.8755616,-87.6244212
Chico-Redding CA,39.7571872,-121.8301977
Cincinnati OH,39.1014537,-84.5124602
Clarksburg-Weston WV,39.2806451,-80.3445341
Cleveland-Akron (Canton) OH,41.2278419,-81.4910108
Colorado Springs-Pueblo CO,38.8339578,-104.8253485
Columbia SC,34.0007493,-81.0343313
Columbia-Jefferson City MO,38.951883,-92.3337366
Columbus GA,43.1830762,-79.8147518
Columbus OH,39.9622601,-83.0007065
Columbus-Tupelo-West Point MS,41.43290165,-97.3574602029875
Corpus Christi TX,27.8002542,-97.3955744
Correze,45.3429047,1.81764244061206
Corse-du-Sud,41.87340825,9.0087052196875
Cotes-d'Armor,48.45842215,-2.75058683461077
Creuse,46.0593485,2.04890101251091
Côte-d'Or,47.46550335,4.74812234575117
Dallas-Ft. Worth TX,32.7483079,-97.3037442
Davenport IA-Rock Island-Moline IL,41.5236436,-90.5776368
Dayton OH,39.7589478,-84.1916069
Denver CO,39.7348381,-104.9653271
Des Moines-Ames IA,41.8090275,-93.6149176
Detroit MI,42.3315509,-83.0466403
Deux-Sevres,46.53914,-0.299533326480368
Dordogne,45.14291985,0.632125805865104
Dothan AL,31.2237434,-85.3933906
Doubs,47.06699155,6.23562277282045
Drôme,44.72964575,5.20455959999651
Duluth MN-Superior WI,46.7813787,-92.1049562
El Paso TX,31.7600372,-106.487287
Elmira NY,42.0897965,-76.8077338
Erie PA,42.1294712,-80.0852695
Essonne,48.53034015,2.23929180566817
Eugene OR,44.0505054,-123.0950506
Eure,49.0756358,0.96520259447748
Eure-et-Loir,48.4474102,1.39988201850208
Eureka CA,45.4985271,-62.6816736
Evansville IN,4.5777639,-7.6472486
Fairbanks AK,64.837845,-147.716675
Fargo-Valley City ND,46.876138,-96.8838464
Finistere,48.2452998,-4.04403022572015
Flint-Saginaw-Bay City MI,43.0171773,-83.7236024
Florence-Myrtle Beach SC,41.2040101,-73.0970039
Fresno-Visalia CA,36.7561762,-119.4751227
Ft. Myers-Naples FL,26.3257969,-81.7766479
Ft. Smith-Fayetteville-Springdale-Rogers AR,35.3872218,-94.4248983
Ft. Wayne IN,41.0799898,-85.1386015
Gainesville FL,29.67357765,-82.3233746019217
